"x","y","dataset"
10,8.04,first
8,6.95,first
13,7.58,first
9,8.81,first
11,8.33,first
14,9.96,first
6,7.24,first
4,4.26,first
12,10.84,first
7,4.82,first
5,5.68,first
10,9.14,second
8,8.14,second
13,8.74,second
9,8.77,second
11,9.26,second
14,8.1,second
6,6.13,second
4,3.1,second
12,9.13,second
7,7.26,second
5,4.74,second
10,7.46,third
8,6.77,third
13,12.74,third
9,7.11,third
11,7.81,third
14,8.84,third
6,6.08,third
4,5.39,third
12,8.15,third
7,6.42,third
5,5.73,third
8,6.58,fourth
8,5.76,fourth
8,7.71,fourth
8,8.84,fourth
8,8.47,fourth
8,7.04,fourth
8,5.25,fourth
19,12.5,fourth
8,5.56,fourth
8,7.91,fourth
8,6.89,fourth
